COUNTY,Population,pctUninsured,Median_Household_Income,pctLowBirthWeight,pctAdultObese,pctSmokers
Alamance,37614,19,43001,9,34,19
Alexander,9276,17,46064,8,33,19
Alleghany,2209,25,37086,8,26,19
Anson,6966,19,33443,12,35,24
Ashe,6079,23,35155,9,26,18
Avery,4672,25,34933,7,26,19
Beaufort,10351,20,39043,10,33,18
Bertie,4730,17,31610,12,36,23
Bladen,7763,20,33971,10,35,23
Brunswick,23702,19,47799,8,29,17
Buncombe,65331,20,45738,8,23,19
Burke,21296,20,36150,8,32,19
Cabarrus,51071,16,55046,9,28,18
Caldwell,19551,20,34811,9,31,21
Camden,2415,16,60537,8,32,16
Carteret,15443,19,46227,8,26,17
Caswell,5437,17,37122,9,36,19
Catawba,38557,18,43777,9,31,19
Chatham,14704,19,56981,8,27,16
Cherokee,5225,22,34476,10,29,19
Chowan,3063,18,39143,11,32,20
Clay,1885,22,37078,7,29,18
Cleveland,22736,16,40528,10,32,20
Columbus,13824,21,35026,11,31,23
Craven,25270,17,45022,8,30,18
Cumberland,92647,16,44038,10,32,22
Currituck,5853,18,57577,6,28,18
Dare,8591,20,52083,6,28,17
Davidson,40486,18,40424,10,30,18
Davie,9192,18,49708,8,28,16
Duplin,14687,26,38106,8,29,22
Durham,92211,18,52331,9,28,17
Edgecombe,12743,17,33080,12,39,22
Forsyth,92871,17,46163,10,29,18
Franklin,15725,19,39312,9,32,20
Gaston,54113,18,42461,10,34,21
Gates,2610,17,48194,10,34,19
Graham,1771,22,33553,9,31,19
Granville,14437,17,48680,9,37,19
Greene,5849,22,39481,11,34,22
Guilford,133982,18,46093,9,28,19
Halifax,11991,17,32597,12,39,23
Harnett,34931,19,45257,9,33,20
Haywood,12852,19,39320,10,26,17
Henderson,23919,20,44561,7,24,16
Hertford,5722,17,33616,13,35,22
Hoke,16131,21,43987,9,35,23
Hyde,1517,23,36681,9,30,19
Iredell,41474,18,49983,9,28,17
Jackson,8910,24,40511,7,32,20
Johnston,48794,19,50904,8,35,20
Jones,2282,21,39602,11,34,19
Lee,15095,21,48061,10,29,20
Lenoir,13462,19,34127,11,36,21
Lincoln,19887,19,50537,8,29,19
McDowell,10894,18,36840,9,30,20
Macon,6948,25,37219,7,25,18
Madison,4602,18,37479,8,25,19
Martin,4974,17,34761,13,36,22
Mecklenburg,311418,19,54657,9,24,16
Mitchell,3315,19,38303,9,29,18
Montgomery,6657,23,35613,9,32,21
Moore,19944,17,50169,8,28,17
Nash,22730,18,41575,10,31,19
New Hanover,56368,19,48651,8,26,16
Northampton,4227,16,31732,12,38,21
Onslow,51292,16,45213,7,26,20
Orange,34055,15,59472,8,20,17
Pamlico,2573,20,43517,8,32,17
Pasquotank,10139,17,40094,10,34,19
Pender,13162,20,44949,8,29,19
Perquimans,2705,17,42504,9,33,19
Person,9205,17,42091,9,33,19
Pitt,44902,18,40940,10,34,21
Polk,3674,22,43665,9,27,15
Randolph,35627,21,40896,8,30,20
Richmond,11158,20,32825,11,37,21
Robeson,34090,25,30248,11,39,29
Rockingham,21661,18,40446,10,34,20
Rowan,34027,19,41475,9,34,20
Rutherford,15605,18,35544,9,28,22
Sampson,15800,24,35890,9,39,20
Scotland,8486,18,32314,13,37,25
Stanly,14527,18,42801,10,30,18
Stokes,10691,17,44552,9,34,19
Surry,17331,20,36221,8,29,19
Swain,3410,22,34552,7,35,23
Transylvania,5923,20,40578,8,24,16
Tyrrell,1181,24,32642,12,31,21
Union,54267,16,63912,8,27,17
Vance,10651,18,35565,12,37,22
Wake,293312,14,65433,8,25,15
Warren,4321,20,33767,14,38,22
Washington,2444,17,31596,10,33,21
Watauga,10189,19,38380,6,26,21
Wayne,31745,18,41526,8,35,20
Wilkes,15888,20,35895,8,26,20
Wilson,19619,20,40772,10,38,22
Yadkin,9235,20,40998,11,32,20
Yancey,3914,20,35866,8,27,19
