"","race","COUNTY","mortality","predicted_mortality","X","CORES","YOB","deaths","births","Population","pctUninsured","Median_Household_Income","pctLowBirthWeight","pctAdultObese","pctSmokers","mortality_rate","difference"
"1","American Indian","BLADEN",83.3333333333333,16.140758587627,1039,9,2015,1,12,34843,23,33.971,9.8,36,21,0.0833333333333333,67.1925747457063
"2","American Indian","BLADEN",83.3333333333333,16.140758587627,1039,9,2015,1,12,34843,23,33.971,9.8,36,21,0.0833333333333333,67.1925747457063
"3","American Indian","CUMBERLAND",12.1951219512195,12.4597662026009,225,26,2015,1,82,325871,17,44.038,9.7,31,22,0.0121951219512195,-0.264644251381391
"4","American Indian","CUMBERLAND",12.1951219512195,12.4597662026009,225,26,2015,1,82,325871,17,44.038,9.7,31,22,0.0121951219512195,-0.264644251381391
"5","American Indian","CUMBERLAND",12.1951219512195,12.4597662026009,225,26,2015,1,82,325871,17,44.038,9.7,31,22,0.0121951219512195,-0.264644251381391
"6","American Indian","JACKSON",15.3846153846154,16.6189634997023,549,50,2015,1,65,40919,26,40.511,6.8,32,371,0.0153846153846154,-1.23434811508693
"7","American Indian","JACKSON",15.3846153846154,16.6189634997023,549,50,2015,1,65,40919,26,40.511,6.8,32,371,0.0153846153846154,-1.23434811508693
"8","American Indian","ROBESON",5.18134715025907,14.0614537703437,893,78,2015,4,772,134841,26,30.248,11.2,40,2614,0.00518134715025907,-8.88010662008464
"9","American Indian","ROBESON",5.18134715025907,14.0614537703437,893,78,2015,4,772,134841,26,30.248,11.2,40,2614,0.00518134715025907,-8.88010662008464
"10","American Indian","ROBESON",5.18134715025907,14.0614537703437,893,78,2015,4,772,134841,26,30.248,11.2,40,2614,0.00518134715025907,-8.88010662008464
"11","American Indian","ROBESON",5.18134715025907,14.0614537703437,893,78,2015,4,772,134841,26,30.248,11.2,40,2614,0.00518134715025907,-8.88010662008464
"12","American Indian","ROBESON",5.18134715025907,14.0614537703437,893,78,2015,4,772,134841,26,30.248,11.2,40,2614,0.00518134715025907,-8.88010662008464
"13","American Indian","SWAIN",11.9047619047619,17.8123648294836,1025,87,2015,1,84,14058,24,34.552,7.3,33,216,0.0119047619047619,-5.90760292472166
"14","American Indian","SWAIN",11.9047619047619,17.8123648294836,1025,87,2015,1,84,14058,24,34.552,7.3,33,216,0.0119047619047619,-5.90760292472166
"15","American Indian","SWAIN",11.9047619047619,17.8123648294836,1025,87,2015,1,84,14058,24,34.552,7.3,33,216,0.0119047619047619,-5.90760292472166
"16","American Indian","SWAIN",11.9047619047619,17.8123648294836,1025,87,2015,1,84,14058,24,34.552,7.3,33,216,0.0119047619047619,-5.90760292472166
"17","American Indian","SWAIN",11.9047619047619,17.8123648294836,1025,87,2015,1,84,14058,24,34.552,7.3,33,216,0.0119047619047619,-5.90760292472166
"18","Black","ALAMANCE",17.8117048346056,16.2263044884615,5,1,2015,7,393,154378,20,43.001,9,33,24,0.0178117048346056,1.58540034614413
"19","Black","ALAMANCE",17.8117048346056,16.2263044884615,5,1,2015,7,393,154378,20,43.001,9,33,24,0.0178117048346056,1.58540034614413
"20","Black","ALAMANCE",17.8117048346056,16.2263044884615,5,1,2015,7,393,154378,20,43.001,9,33,24,0.0178117048346056,1.58540034614413
"21","Black","ALAMANCE",17.8117048346056,16.2263044884615,5,1,2015,7,393,154378,20,43.001,9,33,24,0.0178117048346056,1.58540034614413
"22","Black","ALAMANCE",17.8117048346056,16.2263044884615,5,1,2015,7,393,154378,20,43.001,9,33,24,0.0178117048346056,1.58540034614413
"23","Black","ANSON",15.5038759689922,19.2109068770879,406,4,2015,2,129,26161,19,33.443,11.3,35,20,0.0155038759689922,-3.70703090809569
"24","Black","ANSON",15.5038759689922,19.2109068770879,406,4,2015,2,129,26161,19,33.443,11.3,35,20,0.0155038759689922,-3.70703090809569
"25","Black","ANSON",15.5038759689922,19.2109068770879,406,4,2015,2,129,26161,19,33.443,11.3,35,20,0.0155038759689922,-3.70703090809569
"26","Black","BEAUFORT",6.45161290322581,17.7419216650189,789,7,2015,1,155,47464,20,39.043,10.3,32,28,0.00645161290322581,-11.2903087617931
"27","Black","BEAUFORT",6.45161290322581,17.7419216650189,789,7,2015,1,155,47464,20,39.043,10.3,32,28,0.00645161290322581,-11.2903087617931
"28","Black","BEAUFORT",6.45161290322581,17.7419216650189,789,7,2015,1,155,47464,20,39.043,10.3,32,28,0.00645161290322581,-11.2903087617931
"29","Black","BEAUFORT",6.45161290322581,17.7419216650189,789,7,2015,1,155,47464,20,39.043,10.3,32,28,0.00645161290322581,-11.2903087617931
"30","Black","BEAUFORT",6.45161290322581,17.7419216650189,789,7,2015,1,155,47464,20,39.043,10.3,32,28,0.00645161290322581,-11.2903087617931
"31","Black","BERTIE",33.8983050847458,18.0564352569196,931,8,2015,4,118,20344,17,31.61,13,35,19,0.0338983050847458,15.8418698278262
"32","Black","BERTIE",33.8983050847458,18.0564352569196,931,8,2015,4,118,20344,17,31.61,13,35,19,0.0338983050847458,15.8418698278262
"33","Black","BERTIE",33.8983050847458,18.0564352569196,931,8,2015,4,118,20344,17,31.61,13,35,19,0.0338983050847458,15.8418698278262
"34","Black","BERTIE",33.8983050847458,18.0564352569196,931,8,2015,4,118,20344,17,31.61,13,35,19,0.0338983050847458,15.8418698278262
"35","Black","BLADEN",7.8740157480315,18.6054848349191,1044,9,2015,1,127,34843,23,33.971,9.8,36,21,0.0078740157480315,-10.7314690868876
"36","Black","BLADEN",7.8740157480315,18.6054848349191,1044,9,2015,1,127,34843,23,33.971,9.8,36,21,0.0078740157480315,-10.7314690868876
"37","Black","BLADEN",7.8740157480315,18.6054848349191,1044,9,2015,1,127,34843,23,33.971,9.8,36,21,0.0078740157480315,-10.7314690868876
"38","Black","BLADEN",7.8740157480315,18.6054848349191,1044,9,2015,1,127,34843,23,33.971,9.8,36,21,0.0078740157480315,-10.7314690868876
"39","Black","BLADEN",7.8740157480315,18.6054848349191,1044,9,2015,1,127,34843,23,33.971,9.8,36,21,0.0078740157480315,-10.7314690868876
"40","Black","BUNCOMBE",19.9004975124378,14.874744677954,39,11,2015,4,201,247912,20,45.738,8.3,24,20,0.0199004975124378,5.02575283448384
"41","Black","BUNCOMBE",19.9004975124378,14.874744677954,39,11,2015,4,201,247912,20,45.738,8.3,24,20,0.0199004975124378,5.02575283448384
"42","Black","BUNCOMBE",19.9004975124378,14.874744677954,39,11,2015,4,201,247912,20,45.738,8.3,24,20,0.0199004975124378,5.02575283448384
"43","Black","BUNCOMBE",19.9004975124378,14.874744677954,39,11,2015,4,201,247912,20,45.738,8.3,24,20,0.0199004975124378,5.02575283448384
"44","Black","BUNCOMBE",19.9004975124378,14.874744677954,39,11,2015,4,201,247912,20,45.738,8.3,24,20,0.0199004975124378,5.02575283448384
"45","Black","BURKE",23.2558139534884,19.3678133766854,55,12,2015,1,43,89842,21,36.15,7.8,31,24,0.0232558139534884,3.88800057680297
"46","Black","BURKE",23.2558139534884,19.3678133766854,55,12,2015,1,43,89842,21,36.15,7.8,31,24,0.0232558139534884,3.88800057680297
"47","Black","CABARRUS",18.957345971564,11.9994522765108,70,13,2015,8,422,187226,18,55.046,8.7,29,19,0.018957345971564,6.95789369505315
"48","Black","CABARRUS",18.957345971564,11.9994522765108,70,13,2015,8,422,187226,18,55.046,8.7,29,19,0.018957345971564,6.95789369505315
"49","Black","CABARRUS",18.957345971564,11.9994522765108,70,13,2015,8,422,187226,18,55.046,8.7,29,19,0.018957345971564,6.95789369505315
"50","Black","CABARRUS",18.957345971564,11.9994522765108,70,13,2015,8,422,187226,18,55.046,8.7,29,19,0.018957345971564,6.95789369505315
"51","Black","CABARRUS",18.957345971564,11.9994522765108,70,13,2015,8,422,187226,18,55.046,8.7,29,19,0.018957345971564,6.95789369505315
"52","Black","CASWELL",17.8571428571429,18.1999870862008,112,17,2015,1,56,23190,19,37.122,10.2,34,36,0.0178571428571429,-0.342844229057853
"53","Black","CASWELL",17.8571428571429,18.1999870862008,112,17,2015,1,56,23190,19,37.122,10.2,34,36,0.0178571428571429,-0.342844229057853
"54","Black","CASWELL",17.8571428571429,18.1999870862008,112,17,2015,1,56,23190,19,37.122,10.2,34,36,0.0178571428571429,-0.342844229057853
"55","Black","CATAWBA",29.8507462686567,15.4951199249978,118,18,2015,6,201,154810,19,43.777,8.8,29,23,0.0298507462686567,14.3556263436589
"56","Black","CATAWBA",29.8507462686567,15.4951199249978,118,18,2015,6,201,154810,19,43.777,8.8,29,23,0.0298507462686567,14.3556263436589
"57","Black","CATAWBA",29.8507462686567,15.4951199249978,118,18,2015,6,201,154810,19,43.777,8.8,29,23,0.0298507462686567,14.3556263436589
"58","Black","CATAWBA",29.8507462686567,15.4951199249978,118,18,2015,6,201,154810,19,43.777,8.8,29,23,0.0298507462686567,14.3556263436589
"59","Black","CATAWBA",29.8507462686567,15.4951199249978,118,18,2015,6,201,154810,19,43.777,8.8,29,23,0.0298507462686567,14.3556263436589
"60","Black","CHATHAM",13.5135135135135,14.7471702014513,135,19,2015,1,74,66817,19,56.981,7.5,26,20,0.0135135135135135,-1.23365668793778
"61","Black","CHATHAM",13.5135135135135,14.7471702014513,135,19,2015,1,74,66817,19,56.981,7.5,26,20,0.0135135135135135,-1.23365668793778
"62","Black","CHATHAM",13.5135135135135,14.7471702014513,135,19,2015,1,74,66817,19,56.981,7.5,26,20,0.0135135135135135,-1.23365668793778
"63","Black","CHOWAN",25.974025974026,16.6139815486314,168,21,2015,2,77,14726,18,39.143,11.9,32,30,0.025974025974026,9.36004442539464
"64","Black","CHOWAN",25.974025974026,16.6139815486314,168,21,2015,2,77,14726,18,39.143,11.9,32,30,0.025974025974026,9.36004442539464
"65","Black","CLAY",1000,20.4171536691265,172,22,2015,1,1,10584,22,37.078,6.6,26,21,1,979.582846330874
"66","Black","CLEVELAND",14.8148148148148,16.8304050870842,179,23,2015,4,270,97047,18,40.528,9.7,29,24,0.0148148148148148,-2.01559027226942
"67","Black","CLEVELAND",14.8148148148148,16.8304050870842,179,23,2015,4,270,97047,18,40.528,9.7,29,24,0.0148148148148148,-2.01559027226942
"68","Black","CLEVELAND",14.8148148148148,16.8304050870842,179,23,2015,4,270,97047,18,40.528,9.7,29,24,0.0148148148148148,-2.01559027226942
"69","Black","CLEVELAND",14.8148148148148,16.8304050870842,179,23,2015,4,270,97047,18,40.528,9.7,29,24,0.0148148148148148,-2.01559027226942
"70","Black","CLEVELAND",14.8148148148148,16.8304050870842,179,23,2015,4,270,97047,18,40.528,9.7,29,24,0.0148148148148148,-2.01559027226942
"71","Black","COLUMBUS",5.78034682080925,17.836687754352,193,24,2015,1,173,57246,21,35.026,11.6,32,23,0.00578034682080925,-12.0563409335428
