,CORES,race,YOB,deaths,births,COUNTY,mortality,,
1,1,Black,2011,2,344,ALAMANCE,5.813953488,,
2,1,Black,2012,10,358,ALAMANCE,27.93296089,,10
3,1,Black,2013,7,397,ALAMANCE,17.63224181,,
4,1,Black,2014,6,387,ALAMANCE,15.50387597,,
5,1,Black,2015,7,393,ALAMANCE,17.81170483,,
6,1,Black,2016,3,398,ALAMANCE,7.537688442,,
7,1,Hispanic,2011,1,362,ALAMANCE,2.762430939,,
8,1,Hispanic,2012,1,381,ALAMANCE,2.624671916,,
9,1,Hispanic,2013,1,356,ALAMANCE,2.808988764,,
10,1,Hispanic,2014,3,355,ALAMANCE,8.450704225,,
11,1,Hispanic,2015,3,379,ALAMANCE,7.915567282,,
12,1,Hispanic,2016,4,391,ALAMANCE,10.23017903,,
13,1,Other Non-White,2013,1,33,ALAMANCE,30.3030303,,
14,1,White,2011,8,932,ALAMANCE,8.583690987,,
15,1,White,2012,4,977,ALAMANCE,4.094165814,,
16,1,White,2013,9,998,ALAMANCE,9.018036072,,
17,1,White,2014,10,978,ALAMANCE,10.22494888,,
18,1,White,2015,4,967,ALAMANCE,4.136504654,,
19,1,White,2016,6,1018,ALAMANCE,5.893909627,,
20,10,Black,2011,1,140,BRUNSWICK,7.142857143,,
21,10,Black,2012,3,128,BRUNSWICK,23.4375,,
22,10,Black,2013,1,144,BRUNSWICK,6.944444444,,
23,10,Black,2014,1,131,BRUNSWICK,7.633587786,,
24,10,Black,2016,2,131,BRUNSWICK,15.26717557,,
25,10,Hispanic,2016,2,104,BRUNSWICK,19.23076923,,
26,10,White,2011,7,795,BRUNSWICK,8.805031447,,
27,10,White,2012,7,796,BRUNSWICK,8.793969849,,
28,10,White,2013,7,749,BRUNSWICK,9.345794393,,
29,10,White,2014,3,863,BRUNSWICK,3.476245655,,
30,10,White,2015,2,784,BRUNSWICK,2.551020408,,
31,10,White,2016,5,721,BRUNSWICK,6.93481276,,
32,100,White,2011,3,146,YANCEY ,20.54794521,,
33,100,White,2012,2,159,YANCEY ,12.57861635,,
34,100,White,2015,1,156,YANCEY ,6.41025641,,
35,11,Black,2011,1,199,BUNCOMBE,5.025125628,,
36,11,Black,2012,1,218,BUNCOMBE,4.587155963,,
37,11,Black,2013,5,223,BUNCOMBE,22.42152466,,
38,11,Black,2014,6,214,BUNCOMBE,28.03738318,,
39,11,Black,2015,4,201,BUNCOMBE,19.90049751,,
40,11,Black,2016,2,198,BUNCOMBE,10.1010101,,
41,11,Hispanic,2011,1,258,BUNCOMBE,3.875968992,,
42,11,Hispanic,2012,1,267,BUNCOMBE,3.745318352,,
43,11,Hispanic,2013,1,299,BUNCOMBE,3.344481605,,
44,11,Hispanic,2014,3,275,BUNCOMBE,10.90909091,,
45,11,Hispanic,2015,1,289,BUNCOMBE,3.460207612,,
46,11,Hispanic,2016,4,310,BUNCOMBE,12.90322581,,
47,11,Other Non-White,2015,2,61,BUNCOMBE,32.78688525,,
48,11,White,2011,11,2028,BUNCOMBE,5.424063116,,
49,11,White,2012,11,2048,BUNCOMBE,5.37109375,,
50,11,White,2013,21,2076,BUNCOMBE,10.11560694,,
51,11,White,2014,8,2031,BUNCOMBE,3.938946332,,
52,11,White,2015,5,2074,BUNCOMBE,2.410800386,,
53,11,White,2016,9,2034,BUNCOMBE,4.424778761,,
54,12,Black,2011,1,44,BURKE ,22.72727273,,
55,12,Black,2015,1,43,BURKE ,23.25581395,,
56,12,Hispanic,2011,1,102,BURKE ,9.803921569,,
57,12,Hispanic,2014,3,118,BURKE ,25.42372881,,
58,12,Hispanic,2015,1,100,BURKE ,10,,
59,12,Hispanic,2016,1,114,BURKE ,8.771929825,,
60,12,White,2011,5,654,BURKE ,7.645259939,,
61,12,White,2012,4,668,BURKE ,5.988023952,,
62,12,White,2013,2,630,BURKE ,3.174603175,,
63,12,White,2014,7,658,BURKE ,10.63829787,,
64,12,White,2015,5,680,BURKE ,7.352941176,,
65,12,White,2016,4,676,BURKE ,5.917159763,,
66,13,Black,2011,1,365,CABARRUS,2.739726027,,
67,13,Black,2012,5,405,CABARRUS,12.34567901,,
68,13,Black,2013,4,402,CABARRUS,9.950248756,,
69,13,Black,2014,2,400,CABARRUS,5,,
70,13,Black,2015,8,422,CABARRUS,18.95734597,,
71,13,Black,2016,4,443,CABARRUS,9.029345372,,
72,13,Hispanic,2011,2,411,CABARRUS,4.866180049,,
73,13,Hispanic,2012,1,390,CABARRUS,2.564102564,,
74,13,Hispanic,2013,1,379,CABARRUS,2.638522427,,
75,13,Hispanic,2014,2,409,CABARRUS,4.88997555,,
76,13,Hispanic,2015,2,430,CABARRUS,4.651162791,,
77,13,Hispanic,2016,1,424,CABARRUS,2.358490566,,
78,13,Other Non-White,2013,1,85,CABARRUS,11.76470588,,
79,13,Other Non-White,2015,1,143,CABARRUS,6.993006993,,
80,13,White,2011,7,1435,CABARRUS,4.87804878,,
81,13,White,2012,4,1373,CABARRUS,2.913328478,,
82,13,White,2013,8,1446,CABARRUS,5.532503458,,
83,13,White,2014,10,1422,CABARRUS,7.032348805,,
84,13,White,2015,5,1463,CABARRUS,3.417634997,,
85,13,White,2016,9,1447,CABARRUS,6.219765031,,
86,14,Black,2013,1,48,CALDWELL,20.83333333,,
87,14,Hispanic,2011,1,74,CALDWELL,13.51351351,,
88,14,Hispanic,2014,1,67,CALDWELL,14.92537313,,
89,14,Hispanic,2015,1,69,CALDWELL,14.49275362,,
90,14,Hispanic,2016,2,62,CALDWELL,32.25806452,,
91,14,White,2011,4,681,CALDWELL,5.873715125,,
92,14,White,2012,6,678,CALDWELL,8.849557522,,
93,14,White,2013,3,675,CALDWELL,4.444444444,,
94,14,White,2014,11,710,CALDWELL,15.49295775,,
95,14,White,2015,6,678,CALDWELL,8.849557522,,
96,14,White,2016,2,707,CALDWELL,2.828854314,,
97,15,White,2011,1,71,CAMDEN,14.08450704,,
98,16,Black,2013,1,32,CARTERET,31.25,,
99,16,Black,2014,1,37,CARTERET,27.02702703,,
100,16,Black,2016,2,35,CARTERET,57.14285714,,
101,16,Hispanic,2011,1,47,CARTERET,21.27659574,,
102,16,Hispanic,2013,1,62,CARTERET,16.12903226,,
103,16,Hispanic,2015,1,41,CARTERET,24.3902439,,
104,16,White,2011,3,524,CARTERET,5.72519084,,
105,16,White,2012,5,512,CARTERET,9.765625,,
106,16,White,2013,4,547,CARTERET,7.31261426,,
107,16,White,2014,2,485,CARTERET,4.12371134,,
108,16,White,2015,3,524,CARTERET,5.72519084,,
109,16,White,2016,2,451,CARTERET,4.4345898,,
110,17,Black,2011,2,64,CASWELL,31.25,,
111,17,Black,2014,3,70,CASWELL,42.85714286,,
112,17,Black,2015,1,56,CASWELL,17.85714286,,
113,17,White,2011,2,153,CASWELL,13.07189542,,
114,18,Black,2011,3,186,CATAWBA,16.12903226,,
115,18,Black,2012,2,189,CATAWBA,10.58201058,,
116,18,Black,2013,2,153,CATAWBA,13.07189542,,
117,18,Black,2014,3,204,CATAWBA,14.70588235,,
118,18,Black,2015,6,201,CATAWBA,29.85074627,,
119,18,Black,2016,3,176,CATAWBA,17.04545455,,
120,18,Hispanic,2011,3,285,CATAWBA,10.52631579,,
121,18,Hispanic,2014,2,283,CATAWBA,7.067137809,,
122,18,Hispanic,2016,1,286,CATAWBA,3.496503497,,
123,18,Other Non-White,2012,1,142,CATAWBA,7.042253521,,
124,18,Other Non-White,2014,1,140,CATAWBA,7.142857143,,
125,18,Other Non-White,2015,3,138,CATAWBA,21.73913043,,
126,18,Other Non-White,2016,1,134,CATAWBA,7.462686567,,
127,18,White,2011,3,1177,CATAWBA,2.548853016,,
128,18,White,2012,3,1217,CATAWBA,2.465078061,,
129,18,White,2013,7,1107,CATAWBA,6.323396567,,
130,18,White,2014,6,1179,CATAWBA,5.089058524,,
131,18,White,2015,10,1143,CATAWBA,8.748906387,,
132,18,White,2016,1,1068,CATAWBA,0.936329588,,
133,19,Black,2013,2,75,CHATHAM,26.66666667,,
134,19,Black,2014,2,86,CHATHAM,23.25581395,,
135,19,Black,2015,1,74,CHATHAM,13.51351351,,
136,19,Black,2016,2,75,CHATHAM,26.66666667,,
137,19,Hispanic,2011,2,201,CHATHAM,9.950248756,,
138,19,Hispanic,2012,2,198,CHATHAM,10.1010101,,
139,19,Hispanic,2014,3,145,CHATHAM,20.68965517,,
140,19,Hispanic,2015,3,163,CHATHAM,18.40490798,,
141,19,Hispanic,2016,3,133,CHATHAM,22.55639098,,
142,19,White,2011,3,365,CHATHAM,8.219178082,,
143,19,White,2012,2,340,CHATHAM,5.882352941,,
144,19,White,2013,3,346,CHATHAM,8.670520231,,
145,19,White,2014,4,364,CHATHAM,10.98901099,,
146,19,White,2015,3,411,CHATHAM,7.299270073,,
147,19,White,2016,4,408,CHATHAM,9.803921569,,
148,2,Black,2011,1,13,ALEXANDER,76.92307692,,
149,2,Hispanic,2012,1,29,ALEXANDER,34.48275862,,
150,2,Other Non-White,2016,1,8,ALEXANDER,125,,
151,2,White,2011,1,282,ALEXANDER,3.546099291,,
152,2,White,2012,1,333,ALEXANDER,3.003003003,,
153,2,White,2013,1,311,ALEXANDER,3.215434084,,
154,2,White,2014,1,296,ALEXANDER,3.378378378,,
155,2,White,2015,1,302,ALEXANDER,3.311258278,,
156,2,White,2016,5,296,ALEXANDER,16.89189189,,
157,20,Hispanic,2013,1,16,CHEROKEE,62.5,,
158,20,Hispanic,2014,1,8,CHEROKEE,125,,
159,20,Hispanic,2015,1,10,CHEROKEE,100,,
160,20,Other Non-White,2011,2,11,CHEROKEE,181.8181818,,
161,20,White,2011,1,208,CHEROKEE,4.807692308,,
162,20,White,2012,1,194,CHEROKEE,5.154639175,,
163,20,White,2013,1,178,CHEROKEE,5.617977528,,
164,20,White,2014,2,190,CHEROKEE,10.52631579,,
165,20,White,2015,1,192,CHEROKEE,5.208333333,,
